aen	aː ə n
patriarch	p ɑ t ʀ i ɑ ʀ ɕ
patriarchen	p ɑ t ʀ i ɑ ʀ ɕ ə n
patriarchalesch	p ɑ t ʀ i ɑ ʀ k aː l ə ʃ
patriot	p ɑ t ʀ i oː t
patrioten	p ɑ t ʀ i oː t ə n
patriotesch	p ɑ t ʀ i oː t ə ʃ
patriotin	p ɑ t ʀ i o t i n
patriotinnen	p ɑ t ʀ i oː t i n ə n
patriotismus	p ɑ t ʀ i o t i s m u s
patron	p ɑ t ʀ ɑ̃ː
patronen	p ɑ t ʀ oː n ə n
patronage	p ɑ t ʀ o n aː ʃ
patronat	p ɑ t ʀ o n aː t
patronéieren	p ɑ t ʀ o n ɜɪ ə ʀ ə n
patronéiert	p ɑ t ʀ o n ɜɪ ɐ t
patronne	p ɑ t ʀ o n ə
patronnen	p ɑ t ʀ o n ə n
patroun	p ɑ t ʀ əʊ n
patrounen	p ɑ t ʀ əʊ n ə n
patrull	p ɑ t ʀ u l
patrullen	p ɑ t ʀ u l ə n
patrulléieren	p ɑ t ʀ u l ɜɪ ə ʀ ə n
patrulléiert	p ɑ t ʀ u l ɜɪ ɐ t
patschen	p ɑ t ʃ ə n
gepatscht	g ə p ɑ t ʃ t
pätschen	p æ t ʃ ə n
gepätscht	g ə p æ t ʃ t
patt	p ɑ t
pätt	p æ t
patten	p ɑ t ə n
pättchen	p æ t ɕ ə n
pättercher	p æ t ɐ ɕ ɐ
patte	p ɑ t ə
pätter	p æ t ɐ
pätteren	p æ t ə ʀ ə n
pätterchen	p æ t ɐ ɕ ə n
paus	p ɑʊ s
pausen	p ɑʊ z ə n
pauschal	p æːʊ ʃ aː l
gepaust	g ə p ɑʊ s t
pautsch	p æːʊ t ʃ
pautschen	p æːʊ t ʃ ə n
pavé	p ɑ f eː
pavillon	p ɑ v i j ɑ̃ː
pavillonen	p ɑ v i j ɑ̃ː ə n
pawee	p ɑ v eː
paysagist	p ɑ iː s ɑ g i s t
paysagisten	p ɑ iː s ɑ g i s t ə n
paysagistin	p ɑ iː s ɑ g i s t i n
paysagistinnen	p ɑ iː s ɑ g i s t i n ə n
pazifist	p aː ts iː f i s t
pazifisten	p aː ts iː f i s t ə n
pazifistesch	p aː ts iː f i s t ə ʃ
pazifistin	p aː ts iː f i s t i n
pazifistinnen	p aː ts iː f i s t i n ə n
peage	p eː aː ʃ
peagen	p eː aː ʒ ə n
pech	p æ ɕ
pechbild	p æ ɕ b i l t
pechbiller	p æ ɕ b i l ɐ
pecheg	p æ ɕ ə ɕ
pechen	p æ ɕ ə n
gepecht	g ə p æ ɕ t
pechert	p æ ɕ ɐ t
pecherten	p æ ɕ ɐ t ə n
pechesch	p æ ɕ ə ʃ
pecheschen	p æ ɕ ə ʃ ə n
pechpabeier	p æ ɕ p ɑ b ɑɪ ɐ
pechschwaarz	p æ ɕ ʃ w aː ʀ ts
pécksert	p e k s ɐ t
péckvillchen	p e k f i l ɕ ə n
péckvillercher	p e k f i l ɐ ɕ ɐ
pedagog	p ə d ɑ g oː k
pedagogen	p ə d ɑ g oː ʁ ə n
pedagogesch	p ə d ɑ g oː ʁ ə ʃ
pedagogik	p ə d ɑ g oː g i k
pedagogin	p ə d ɑ g oː g i n
pedagoginnen	p ə d ɑ g oː g i n ə n
pedall	p ə d ɑ l
pedallen	p ə d ɑ l ə n
pedalléieren	p ə d ɑ l ɜɪ ə ʀ ə n
pedalléiert	p ə d ɑ l ɜɪ ɐ t
pedant	p ə d ɑ n t
pedanten	p ə d ɑ n t ə n
pedanterie	p ə d ɑ n t ə ʀ iː
pedantesch	p ə d ɑ n t ə ʃ
pedantin	p ə d ɑ n t i n
pedantinnen	p ə d ɑ n t i n ə n
pedikür	p ə d i k y ʀ
pediküren	p ə d i k y ʀ ə n
peegel	p eː ʑ ə l
peegelen	p eː ʑ ə l ə n
peepstlech	p eː p s t l ə ɕ
peffer	p æ f ɐ
pefferen	p æ f ə ʀ ə n
gepeffert	g ə p æ f ɐ t
pëfferen	p ə f ə ʀ ə n
gepëffert	g ə p ə f ɐ t
pefferkär	p æ f ɐ k ɛː ɐ
pefferkären	p æ f ɐ k ɛː ʀ ə n
peffermënz	p æ f ɐ m ə n ts
peffermillen	p æ f ɐ m i l ə n
pegel	p eː ʑ ə l
pegelen	p eː ʑ ə l ə n
pegelstand	p eː ʑ ə l ʃ t ɑ n t
pegelstänn	p eː ʑ ə l ʃ t æ n
péilchen	p ɜɪ l ɕ ə n
péilercher	p ɜɪ l ɐ ɕ ɐ
peiler	p ɑɪ l ɐ
péis	p ɜɪ s
péisen	p ɜɪ z ə n
péiteng	p ɜɪ t e ŋ
péiterséileg	p ɜɪ t ɐ z ɜɪ l ə ɕ
pejorativ	p ə j oː ʀ ɑ t iː f
pëll	p ə l
pëllen	p ə l ə n
pëllchen	p ə l ɕ ə n
pëllercher	p ə l ɐ ɕ ɐ
pellerin	p æ l ə ʀ i n
pellerinnen	p æ l ə ʀ i n ə n
peloton	p eː l o t ɑ̃ː
pelotonen	p eː l o t oː n ə n
pelz	p æ l ts
pelzer	p æ l ts ɐ
pelzeg	p æ l ts ə ɕ
pelzen	p æ l ts ə n
pendant	p ɑ̃ː d ɑ̃ː
pendanten	p ɑ̃ː d ɑ̃ː ə n
pendel	p æ n d ə l
pendelen	p æ n d ə l ə n
gependelt	g ə p æ n d ə l t
penetrant	p eː n ə t ʀ ɑ̃ː
péng	p e ŋ
péngegen	p e ŋ ə ʑ ə n
gepéngegt	g ə p e ŋ ə ɕ t
péngschten	p e ŋ ʃ t ə n
péngschtrous	p e ŋ ʃ t ʀ əʊ s
péngschtrousen	p e ŋ ʃ t ʀ əʊ z ə n
penibel	p eː n iː b ə l
penis	p eː n i s
penissen	p eː n iː s ə n
pénken	p e ŋ k ə n
gepénkt	g ə p e ŋ k t
pénktlech	p e ŋ k t l ə ɕ
pénktlechkeet	p e ŋ k t l ə ɕ k eː t
pennen	p æ n ə n
gepennt	g ə p æ n t
pënsch	p ə n ʃ
pënsel	p ə n z ə l
pënselen	p ə n z ə l ə n
pënselchen	p ə n z ə l ɕ ə n
pënselcher	p ə n z ə l ɕ ɐ
gepënselt	g ə p ə n z ə l t
pensionat	p æ n s j oː n aː t
pensionater	p æ n s j oː n aː t ɐ
pensionéieren	p æ n s j oː n ɜɪ ə ʀ ə n
pensionéiert	p æ n s j oː n ɜɪ ɐ t
pensionnaire	p æ n s j oː n ɛː ʀ
pensionnairen	p æ n s j oː n ɛː ʀ ə n
pensionnairin	p æ n s j oː n ɛː ʀ i n
pensionnairinnen	p æ n s j oː n ɛː ʀ i n ə n
pensioun	p æ n s j əʊ n
pensiounen	p æ n s j əʊ n ə n
pensiounsalter	p æ n s j əʊ n s ɑ l t ɐ
pensiounskeess	p æ n s j əʊ n s k eː s
pensiounskeesen	p æ n s j əʊ n s k eː z ə n
pensum	p æ n s u m
penthaus	p ɑ̃ː t h æːʊ s
penthaiser	p ɑ̃ː t h ɑɪ z ɐ
peperoni	p æ p ə ʀ oː n i
peperonien	p æ p ə ʀ o n iː ə n
pëppchen	p ə p ɕ ə n
pëppercher	p ə p ɐ ɕ ɐ
pëppel	p ə p ə l
pëppelen	p ə p ə l ə n
peppeng	p æ p e ŋ
per	p ɐ
perch	p ɐ ɕ
perchen	p ɐ ɕ ə n
perfekt	p ɛ ʀ f æ k t
perfektionéieren	p ɛ ʀ f æ k ts j o n ɜɪ ə ʀ ə n
perfektionéiert	p ɛ ʀ f ə k s j oː n ɜɪ ɐ t
perfektionismus	p ɛ ʀ f ə k s j oː n i s m u s
perfektionist	p ɛ ʀ f æ k ts j o n i s t
perfektionisten	p ɛ ʀ f ə k s j oː n i s t ə n
perfektionistesch	p ɛ ʀ f ə k s j oː n i s t ə ʃ
perfektionistin	p ɛ ʀ f ə k s j oː n i s t i n
perfektionistinnen	p ɛ ʀ f ə k s j oː n i s t i n ə n
perfektioun	p ɛ ʀ f æ k s j əʊ n
performance	p ɛ ʀ f ɔ ʀ m ɑ̃ː s
performancen	p ɛ ʀ f ɔ ʀ m ɑ̃ː s ə n
performant	p ɛ ʀ f ɔ ʀ m ɑ n t
pergament	p ɛ ʀ ɕ aː m æ n t
pergamenter	p ɛ ʀ ɕ aː m æ n t ɐ
pergola	p ɛ ʀ g oː l aː
pergolaen	p ɛ ʀ g oː l aː ə n
perimeter	p ɛ ʀ i m eː t ɐ
perimeteren	p ɛ ʀ i m eː t ə ʀ ə n
period	p ɛ ʀ i oː t
perioden	p ɛ ʀ i oː d ə n
periode	p ɛ ʀ i oː d ə
periodesch	p ɛ ʀ i oː d ə ʃ
peripherie	p ɛ ʀ i f ə ʀ iː
peripherien	p ɛ ʀ i f eː ʀ j ə n
perkussionist	p ɛ ʀ k u s j o n i s t
perkussionisten	p ɛ ʀ k u s j o n i s t ə n
perkussionistin	p ɛ ʀ k u s j o n i s t i n
perkussionistinnen	p ɛ ʀ k u s j o n i s t i n ə n
perkussioun	p ɛ ʀ k u s j əʊ n
permanence	p ɛ ʀ m ɑ n ɑ̃ː s
permanencen	p ɛ ʀ m ɑ n ɑ̃ː s ə n
permanent	p ɛ ʀ m ɑ n ɑ̃ː
permanente	p ɛ ʀ m ɑ n ɑ̃ː t
permanenten	p ɛ ʀ m ɑ n ɑ̃ː ə n
permis	p ɛ ʀ m iː
permisen	p ɛ ʀ m iː ə n
permissioun	p ɛ ʀ m i s j əʊ n
permissiounen	p ɛ ʀ m i s j əʊ n ə n
perplex	p ɐ p l æ k s
perquisitioun	p ɛ ʀ k i z i ts j əʊ n
perquisitiounen	p ɛ ʀ k i z i ts j əʊ n ə n
perréck	p æ ʀ e k
perrécken	p æ ʀ e k ə n
perruche	p æ ʀ y ʃ
perruchen	p æ ʀ y ɕ ə n
perséinchen	p ɛ ʀ z ɜɪ n ɕ ə n
perséinercher	p ɛ ʀ z ɜɪ n ɐ ɕ ɐ
perséinlech	p ɛ ʀ z ɜɪ n l ə ɕ
perséinlechkeet	p ɛ ʀ z ɜɪ n l ə ɕ k eː t
perséinlechkeeten	p ɛ ʀ z ɜɪ n l ə ɕ k eː t ə n
persiflage	p ɛ ʀ z i f l aː ʃ
persiflagen	p ɛ ʀ z i f l aː ʁ ə n
personal	p ɛ ʀ z o n aː l
personalchef	p ɛ ʀ z o n aː l ʃ æ f
personalcheffen	p ɛ ʀ z o n aː l ʃ æ f ə n
personaldelegatioun	p ɛ ʀ z o n aː l d e l e g ɑ ts j əʊ n
personaldelegatiounen	p ɛ ʀ z o n aː l d e l e g ɑ ts j əʊ n ə n
personaliséieren	p ɛ ʀ z o n aː l i z ɜɪ ə ʀ ə n
personaliséiert	p ɛ ʀ z o n aː l i z ɜɪ ɐ t
personalpronomen	p ɛ ʀ z o n aː l p ʀ o n ɑ̃ː ə n
personifizéieren	p ɛ ʀ z o n i f i ts ɜɪ ə ʀ ə n
personifizéiert	p ɛ ʀ z o n i f i ts ɜɪ ɐ t
personnage	p ɛ ʀ z o n aː ʃ
personnagen	p ɛ ʀ z o n aː ʒ ə n
persoun	p ɛ ʀ z əʊ n
persounen	p ɛ ʀ z əʊ n ə n
perspektiv	p ɛ ʀ s p æ k t iː f
perspektiven	p ɛ ʀ s p æ k t iː v ə n
perte	p ɛ ʀ ə
perten	p ɛ ʀ ə n
pertinent	p ɛ ʀ t i n æ n t
peru	p ɛ ʀ uː
peruaner	p ɛ ʀ u aː n ɐ
peruanerin	p ɛ ʀ u aː n ə ʀ i n
peruanerinnen	p ɛ ʀ u aː n ə ʀ i n ə n
peruanesch	p ɛ ʀ u aː n ə ʃ
pervers	p ɛ ʀ f ɐ s
perversioun	p ɛ ʀ v ɛ ʀ z j əʊ n
perversiounen	p ɛ ʀ v ɛ ʀ z j əʊ n ə n
perversitéit	p ɛ ʀ f ɐ z i t ɜɪ t
perversitéiten	p ɛ ʀ f ɐ z i t ɜɪ t ə n
pervertéieren	p ɛ ʀ v æ ʀ t ɜɪ ə ʀ ə n
pervertéiert	p ɛ ʀ v æ ʀ t ɜɪ ɐ t
pervertéierung	p ɛ ʀ v æ ʀ t ɜɪ ə ʀ u ŋ
pëschelchen	p ə ʃ ə l ɕ ə n
pëschelcher	p ə ʃ ə l ɕ ɐ
pescht	p æ ʃ t
pësperen	p ə s p ə ʀ ə n
gepëspert	g ə p ə s p ɐ t
pessimismus	p æ s i m i s m u s
pessimist	p æ s i m i s t
pessimisten	p æ s i m i s t ə n
pessimistesch	p æ s i m i s t ə ʃ
pessimistin	p æ s i m i s t i n
pessimistinnen	p æ s i m i s t i n ə n
pestizid	p æ s t i ts i t
pestiziden	p æ s t i ts iː d ə n
pesto	p æ s t oː
pestoen	p ə ʃ t oː ə n
petitioun	p eː t i ts j əʊ n
petitiounen	p eː t i ts j əʊ n ə n
pétitioun	p eː t i ts j əʊ n
pétitiounen	p eː t i ts j əʊ n ə n
pëtrol	p ə t ʀ o l
pëtrolspräis	p ə t ʀ o l s p ʀ æːɪ s
pëtrolspräisser	p ə t ʀ o l s p ʀ æːɪ s ɐ
pëtschent	p ə t ʃ ə n t
pëtten	p ə t ə n
pëtz	p ə ts
pëtzen	p ə ts ə n
gepëtzt	g ə p ə ts t
petzi	p æ ts iː
petzien	p æ ts iː ə n
pëtzzaang	p ə ts ts aː ŋ
pëtzzaangen	p ə ts ts aː ŋ ə n
pflicht	p f l i ɕ t
pflichten	p f l i ɕ t ə n
phar	f aː ʀ
pharen	f aː ʀ ə n
phare	f aː ʀ
pharisäer	f aː ʀ i z ɛː ɐ
pharmaindustrie	f aː ʀ m ɑ i n d u s t ʀ iː
pharmazeutesch	f aː ʀ m aː ts oɪ t ə ʃ
phas	f aː s
phasen	f aː s ə n
phenomen	f ə n o m ə n
phenomener	f ə n o m ə n ɐ
phenomenal	f ə n o m ə n aː l
philharmonesch	f iː l h ɑ ʀ m oː n ə ʃ
philippinnen	f iː l i p i n ə n
philippinner	f iː l i p i n ɐ
philippinnerin	f iː l i p i n ə ʀ i n
philippinnerinnen	f iː l i p i n ə ʀ i n ə n
philippinnesch	f iː l i p i n ə ʃ
philo	f iː l oː
philosoph	f iː l oː z o f
philosophen	f iː l oː z o f ə n
philosophéieren	f iː l oː z o p h ɜɪ ə ʀ ə n
philosophéiert	f iː l oː z o p h ɜɪ ɐ t
philosophesch	f iː l oː z o f ə ʃ
philosophie	f iː l oː z o f iː
philosophien	f iː l oː z o f iː ə n
philosophin	f iː l oː z o f iː n
philosophinnen	f iː l oː z o f i n ə n
phlegmatesch	f l eː ɕ m aː t ə ʃ
phobie	f oː b iː
phobien	f oː b iː ə n
phonetesch	f o n eː t ə ʃ
phonetik	f o n eː t i k
phosphat	f o s p h aː t
phosphaten	f o s p h aː t ə n
phosphor	f o s f oː ʀ
physesch	f iː z ə ʃ
physik	f iː s i k
physikalesch	f iː s i k aː l ə ʃ
physiker	f iː s i k ɐ
physikerin	f iː s i k ə ʀ i n
physikerinnen	f iː s i k ə ʀ i n ə n
physikscours	f iː s i k s k uː ɐ
physikscoursen	f iː s i k s k uː ə ʀ ə n
physiksstonn	f iː s i k s ʃ t o n
physiksstonnen	f iː s i k s ʃ t o n ə n
pianist	p j ɑ n i s t
pianisten	p j ɑ n i s t ə n
pianistin	p j ɑ n i s t i n
pianistinnen	p j ɑ n i s t i n ə n
piano	p j ɑ n oː
pianoen	p j ɑ n oː ə n
pic	p i k
picken	p i k ə n
pichet	p i ʃ eː
picheten	p i ʃ eː ə n
pick	p i k
pickeg	p i k ə ɕ
gepickt	g ə p i k t
picknick	p i k n i k
picknicken	p i k n i k ə n
picknickt	p i k n i k t
piddelen	p i d ə l ə n
gepiddelt	g ə p i d ə l t
pidderchen	p i d ɐ ɕ ə n
piddercher	p i d ɐ ɕ ɐ
pièce	p i ɛː s
piechter	p iə ɕ t ɐ
piedchen	p iə t ɕ ə n
pietercher	p i ə t ɐ ɕ ɐ
pierch	p iː ɐ ɕ
pierjen	p iː ɐ ʑ ə n
piercing	p iː ɐ s i ŋ
piercingen	p iː ɐ s i ŋ ə n
pietéit	p i ə t ɜɪ t
piff	p i f
piffen	p i f ə n
gepifft	g ə p i f t
piffkaul	p i f k ɑʊ l
piffkaulen	p i f k ɑʊ l ə n
pigment	p i g m æ n t
pigmenter	p i g m æ n t ɐ
pigmentéiert	p i g m æ n t ɜɪ ɐ t
piipcheswiertchen	p iː p ɕ ə s v iː ɐ t ɕ ə n
piipcheswuert	p iː p ɕ ə s v uː ɐ t
piipseg	p iː p s ə ɕ
piipsen	p iː p s ə n
gepiipst	g ə p iː p s t
piisch	p iː ʃ
pijen	p iː ʒ ə n
pijejus	p iː ʒ ə j yː
pijejusen	p iː ʒ ə j yː ə n
pikant	p i k ɑ n t
pikéiert	p i k ɜɪ ɐ t
pilger	p i l ʑ ɐ
pilgeren	p i l ʑ ə ʀ ə n
gepilgert	g ə p i l ʑ ɐ t
pilgerfaart	p i l ʑ ɐ f aː ʀ t
pilgerfaarten	p i l ʑ ɐ f aː ʀ t ə n
pilgerfahrt	p i l ʑ ɐ f aː ʀ t
pilgerfahrten	p i l ʑ ɐ f aː ʀ t ə n
pilgerin	p i l ʑ ɐ i n
pilgerinnen	p i l ʑ ə ʀ i n ə n
pilier	p i l j eː
pilieren	p i l j eː ə n
pillem	p i l ə m
pillemen	p i l ə m ə n
pilot	p i l oː t
piloten	p i l oː t ə n
piloteschäin	p i l oː t ə ʃ æːɪ n
piloteschäiner	p i l oː t ə ʃ æːɪ n ɐ
pilotin	p i l oː t i n
pilotinnen	p i l oː t i n ə n
pilotprojet	p i l oː t p ʀ o ʒ eː
pilotprojeten	p i l oː t p ʀ o ʒ eː ə n
pilz	p i l ts
pilzen	p i l ts ə n
piment	p i m æ n t
pimenten	p i m æ n t ə n
pince	p i n s
pincen	p i n s ə n
pincette	p i n s æ t
pincetten	p i n s æ t ə n
pingeleg	p i ŋ g ə l ə ɕ
pingpong	p i ŋ g p o ŋ
pinguin	p i ŋ g u iː n
pinguinen	p i ŋ g u iː n ə n
pink	p i ŋ k
pinktchen	p i ŋ k t ɕ ə n
pinktercher	p i ŋ k t ɐ ɕ ɐ
pinschen	p i n ʃ ə n
gepinscht	g ə p i n ʃ t
pinsel	p i n z ə l
pinselen	p i n z ə l ə n
pinselchen	p i n z ə l ɕ ə n
pinselcher	p i n z ə l ɕ ɐ
gepinselt	g ə p i n z ə l t
pioche	p j o χ ə
piochen	p j o χ ə n
pionéier	p j o n ɜɪ ɐ
piosch	p j o ʃ
pioschen	p j o ʃ ə n
pipeg	p i p ə ɕ
pipeline	p i p eː l i n
pipelinen	p i p eː l i n ə n
piquet	p i k eː
piqueten	p i k eː ə n
piqûre	p i k uː ʀ
piqûren	p i k uː ʀ ə n
pirat	p i ʀ aː t
piraten	p i ʀ aː t ə n
pirel	p iː ʀ ə l
pirouette	p i ʀ əʊ æ t
pirouetten	p i ʀ əʊ æ t ə n
pisaken	p i s aː k ə n
gepisakt	g ə p i z ɑ k t
piscine	p i s i n
piscinnen	p i s i n ə n
piss	p i s
pissblumm	p i s b l u m
pissblummen	p i s b l u m ə n
pissen	p i s ə n
gepisst	g ə p i s t
pisseng	p i s e ŋ
pissert	p i s ɐ t
pisserten	p i s ɐ t ə n
pissoir	p i s w aː ʀ
pissoiren	p i s w aː ʀ ə n
pist	p i s t
pisten	p i s t ə n
pistache	p i s t ɑ ʃ
pistachen	p i s t ɑ χ ə n
pistasch	p i s t ɑ ʃ
pistaschen	p i s t ɑ ʃ ə n
piste	p i s t ə
pistoul	p i s t əʊ l
pistoulen	p i s t əʊ l ə n
pitschelchen	p i t ʃ ə l ɕ ə n
pitschelcher	p i t ʃ ə l ɕ ɐ
pittoresk	p i t oː ʀ æ s k
pizza	p i ts aː
pizzaen	p i ts aː ə n
pizzadeeg	p i ts aː d eː ɕ
pizzasdeeg	p i ts aː s d eː ɕ
pizzeria	p i ts e ʀ j aː
pizzeriaen	p i ts e ʀ j aː ə n
placéieren	p l ɑ s ɜɪ ə ʀ ə n
placéiert	p l ɑ k ɜɪ ɐ t
placement	p l ɑ s ə m æ n t
placementer	p l ɑ s ə m æ n t ɐ
placementen	p l ɑ s ə m ɑ̃ː ə n
plach	p l ɑ χ
plachen	p l ɑ χ ə n
plack	p l ɑ k
placken	p l ɑ k ə n
plackennummer	p l ɑ k æ n u m ɐ
plackennummeren	p l ɑ k æ n u m ə ʀ ə n
plädéieren	p l ɛː d ɜɪ ə ʀ ə n
plädéiert	p l ɛː d ɜɪ ɐ t
plädoyer	p l ɛː d w ɑ j eː
plädoyeren	p l ɛː d w ɑ j eː ə n
plafong	p l ɑ f o ŋ
plafongen	p l ɑ f o ŋ ə n
plafonnier	p l ɑ f o n j eː
plafonnieren	p l ɑ f o n iː ɐ ʀ ə n
plage	p l aː ʃ
plagen	p l aː ʒ ə n
plagiat	p l aː ʒ j aː t
plagiater	p l aː ʒ j aː t ɐ
plagiéieren	p l aː ʒ iː ɜɪ ə ʀ ə n
plagiéiert	p l aː ʒ iː ɜɪ ɐ t
plaidéieren	p l ɛː d ɜɪ ə ʀ ə n
plaidéiert	p l ɛː d ɜɪ ɐ t
plaidoyer	p l ɛː d w ɑ j eː
plaidoyeren	p l ɛː d w ɑ j eː ə n
plaimchen	p l ɑ i m ɕ ə n
plaimercher	p l ɑ i m ɐ ɕ ɐ
plainte	p l ɑ ɛ̃ː t
plainten	p l ɑ ɛ̃ː ə n
plakat	p l ɑ k aː t
plakaten	p l ɑ k aː t ə n
plakeg	p l aː k ə ɕ
plakert	p l aː k ɐ t
plakerten	p l aː k ɐ t ə n
plakkapp	p l aː k k ɑ p
plakkäpp	p l aː k k æ p
planéieren	p l ɑ n ɜɪ ə ʀ ə n
planéiert	p l ɑ n ɜɪ ɐ t
planéit	p l ɑ n ɜɪ t
planéiten	p l ɑ n ɜɪ t ə n
plang	p l ɑ ŋ
plangen	p l ɑ ŋ ə n
geplangt	g ə p l ɑ ŋ t
planifikatioun	p l aː n i f i k ɑ ts j əʊ n
planifikatiounen	p l aː n i f i k ɑ ts j əʊ n ə n
plankton	p l ɑ ŋ k t ɑ̃ː
plantatioun	p l ɑ n t ɑ ts j əʊ n
plantatiounen	p l ɑ n t ɑ ts j əʊ n ə n
planz	p l ɑ n ts
planzen	p l ɑ n ts ə n
plänzchen	p l æ n ts j ə n
plänzercher	p l æ n ts ɐ ɕ ɐ
geplanzt	g ə p l ɑ n ts t
planzlech	p l ɑ n ts l ə ɕ
plastesch	p l ɑ s t ə ʃ
plastifizéieren	p l ɑ s t i f i ts ɜɪ ə ʀ ə n
plastifizéiert	p l ɑ s t i f i ts ɜɪ ɐ t
plastik	p l ɑ s t i k
plastiker	p l ɑ s t i k ɐ
plastiks	p l ɑ s t i k s
plastikseemer	p l ɑ s t i k s eː m ɐ
plastikseemeren	p l ɑ s t i k s eː m ə ʀ ə n
plastilinn	p l ɑ s t i l i n
plat	p l aː t
platen	p l ɑ ə n
platan	p l ɑ t aː n
platanen	p l ɑ t ɑ n ə n
plateau	p l ɑ t oː
plateauen	p l ɑ t oː ə n
platebande	p l ɑ t b ɑ n d ə
platebanden	p l ɑ t b ɑ n d ə n
platin	p l ɑ t i n
platine	p l ɑ t i n
platinnen	p l ɑ t i n ə n
platinn	p l ɑ t i n
platonesch	p l ɑ t oː n ə ʃ
plätschen	p l æ t ʃ ə n
geplätscht	g ə p l æ t ʃ t
platschen	p l ɑ t ʃ ə n
geplatscht	g ə p l ɑ t ʃ t
plätschnaass	p l æ t ʃ n aː s
platt	p l ɑ t
plättchen	p l æ t ɕ ə n
plättercher	p l æ t ɐ ɕ ɐ
plattdrécken	p l ɑ t d ʀ e k ə n
plattgedréckt	p l ɑ t g ə d ʀ e k t
plättel	p l æ t ə l
plättelen	p l æ t ə l ə n
platten	p l ɑ t ə n
plätterchersleeër	p l æ t ɐ ɕ ɐ s l eː ɐ
plätterchersleeërin	p l æ t ɐ ɕ ɐ s l eː ə ʀ i n
plätterchersleeërinnen	p l æ t ɐ ɕ ɐ s l eː ə ʀ i n ə n
plattform	p l ɑ t f ɔ ʀ m
plattformen	p l ɑ t f ɔ ʀ m ə n
plattfouss	p l ɑ t f əʊ s
plattféiss	p l ɑ t f ɜɪ s
plätzchen	p l æ ts j ə n
plätzercher	p l æ ts ɐ ɕ ɐ
platzen	p l ɑ ts ə n
geplatzt	g ə p l ɑ ts t
platzhalter	p l ɑ ts h ɑ l t ɐ
platzwonn	p l ɑ ts w o n
platzwonnen	p l ɑ ts w o n ə n
plaum	p l ɑʊ m
plaumen	p l ɑʊ m ə n
plausibel	p l ɑʊ s i b ə l
plaz	p l aː ts
plazen	p l aː ts ə n
plazeweis	p l aː ts ə v ɑɪ s
plécken	p l e k ə n
gepléckt	g ə p l e k t
pléischteren	p l ɜɪ ʃ t ə ʀ ə n
gepléischtert	g ə p l ɜɪ ʃ t ɐ t
plëmmchen	p l ə m ɕ ə n
plëmmercher	p l ə m ɐ ɕ ɐ
plëmmen	p l ə m ə n
geplëmmt	g ə p l ə m t
plemmplemm	p l æ m p l æ m
plenarsall	p l e n ɑ ʀ z ɑ l
plenarsäll	p l e n ɑ ʀ z æ l
plenière	p l ə n j ɛː ʀ
plenièren	p l ə n j ɛː ʀ ə n
plënneren	p l ə n ə ʀ ə n
geplënnert	g ə p l ə n ɐ t
plënnerkëscht	p l ə n ɐ k ə ʃ t
plënnerkëschten	p l ə n ɐ k ə ʃ t ə n
plënnerleit	p l ə n ɐ l ɑɪ t
plenum	p l ə n u m
plenumen	p l ə n u m ə n
pleséier	p l ə z ɜɪ ɐ
pli	p l i
plien	p l j ə n
plissé	p l i s eː
plisséieren	p l i s ɜɪ ə ʀ ə n
plisséiert	p l i s ɜɪ ɐ t
plo	p l oː
ploen	p l oː ə n
geplot	g ə p l oː t
plogeescht	p l oː g eː ʃ t
plogeeschter	p l oː g eː ʃ t ɐ
plomb	p l o p
plëmb	p l ə p
plombéieren	p l oː m b ɜɪ ə ʀ ə n
plombéiert	p l oː m b ɜɪ ɐ t
plomm	p l o m
plommen	p l o m ə n
plomp	p l o m p
plongeon	p l o ŋ ə ɑ̃ː
plongeonen	p l o ŋ eː ɑ̃ː ə n
plooschter	p l oː ʃ t ɐ
plooschteren	p l oː ʃ t ə ʀ ə n
plott	p l o t
plotten	p l o t ə n
plou	p l əʊ
pléi	p l ɜɪ
plouen	p l əʊ ə n
geplout	g ə p l əʊ t
ploufen	p l əʊ f ə n
geplouft	g ə p l əʊ f t
ploufert	p l əʊ f ɐ t
plouferten	p l əʊ f ɐ t ə n
plural	p l u ʀ aː l
pluralen	p l u ʀ aː l ə n
pluralismus	p l u ʀ aː l i s m u s
pluralistesch	p l u ʀ aː l i s t ə ʃ
pluriel	p l u ʀ iə l
pluriellen	p l u ʀ j æ l ə n
plus	p l u s
plussen	p l u s ə n
plüsch	p l y ʃ
plüschen	p l y ʃ ə n
pluspunkt	p l u s p u ŋ k t
pluspunkten	p l u s p u ŋ k t ə n
value	v aː l uə
valuen	v aː l yː ə n
pneu	p n øː
pneuen	p n øː ə n
pneuefabrikant	p n øː f ɑ b ʀ i k ɑ n t
pneuefabrikanten	p n øː f ɑ b ʀ i k ɑ n t ə n
pneumatesch	p n øː m aː t ə ʃ
pochéieren	p o ʃ ɜɪ ə ʀ ə n
pochéiert	p o ʃ ɜɪ ɐ t
pochen	p o χ ə n
gepocht	g ə p o χ t
pochette	p o ʃ æ t
pochetten	p o ʃ æ t ə n
podest	p o d æ s t
podester	p o d æ s t ɐ
podium	p oː d i u m
podiumen	p oː d i u m ə n
poesie	p o e s iː
poesiealbum	p o e s iː ɑ l b u m
poesiealbumen	p o e s iː ɑ l b u m ə n
poet	p o eː
poeten	p o eː ə n
poetesch	p o eː t ə ʃ
